Solved,Solution,Fitness,Population,Iterations,Elapsed Time,Initial Solution,Standard Deviation,Initial Population,Tolerance,Maximum Iterations,Natural Selection Rate,Probability of Mutation,Beta Distribution alpha,Strategy
False,[ 0.0951537 -0.00849718 -0.0924387 -0.0339803 1.65615 4.10614 ],26.2757,8,400,0.518874,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.122166 -0.048255 -0.0119404 -0.156226 1.97546 2.93839 ],33.5586,8,400,0.48238,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0885329 -0.0498467 0.0462297 -0.0764415 2.23469 2.92848 ],0.000704727,8,400,0.484816,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.121066 0.000506422 -0.135892 -0.165256 0.486915 3.36265 ],0.00266127,8,400,0.50841,[ 0.0262752 0.0408682 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0758637 -0.0444471 -0.00982706 0.00478204 1.68502 3.50327 ],3.56471,8,400,0.482487,[ 0.0262773 0.0408664 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0584543 -0.0171149 -0.124022 0.14071 1.63479 2.6446 ],2.78783,8,400,0.468901,[ 0.0262725 0.040871 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0530716 -0.00328067 -0.193574 0.214583 1.90248 2.72069 ],4.80154,8,400,0.488614,[ 0.0262726 0.0408711 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0912487 -0.0298448 0.00207155 -0.0755079 2.01355 2.55918 ],16.2701,8,400,0.501503,[ 0.0262733 0.0408704 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0656813 -0.0184925 -0.112669 0.112091 1.99676 3.14121 ],5.63874,8,400,0.500059,[ 0.0262742 0.0408689 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0484933 0.000808708 -0.145282 0.162773 1.28318 2.68266 ],3.22172,8,400,0.497936,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0918955 -0.0407357 -0.0518437 -0.0340451 1.40286 4.35093 ],8.92142,8,400,0.48482,[ 0.0262767 0.0408664 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0342197 -0.000910941 -0.179157 0.26237 1.8134 3.09309 ],4.24053,8,400,0.4861,[ 0.0262761 0.0408674 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0812626 -0.0675822 -0.0125035 0.0111621 1.5952 2.6472 ],5.33326,8,400,0.478752,[ 0.0262758 0.0408677 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
False,[ 0.0615914 0.0371579 -0.190999 0.0923993 0.926663 2.78115 ],0.000685672,8,400,0.494692,[ 0.0262738 0.0408698 0 0 1.89159 1.89159 ],[ 0.5 0.5 0.5 0.5 0.5 0.5 ],800,1e-05,400,0.4,0.35,6,Keep same individual
